SaleID,Date,CustomerID,Product,Category,Quantity,UnitPrice,Discount,TotalAmount,GST(18%),TotalWithGST,PaymentMethod,City,Country,Region,SalesRep,EmployeeID
202501-00047,1/13/2025,CUST-4114,27" Monitor,Electronics,1,1461.25,0.05,1388.19,249.87,1638.06,UPI,Sydney,Australia,APAC,Asha Verma,E031
202501-00048,1/31/2025,CUST-6409,Smartwatch,Wearables,3,424.96,0.1,1147.39,206.53,1353.92,Cash on Delivery,London,UK,EMEA,Olivia Martin,E076
202501-00049,1/11/2025,CUST-7592,Standing Desk,Furniture,3,607.88,0.15,1550.09,279.02,1829.11,Wallet,Pune,India,APAC,Mei Lin,E074
202501-00050,1/13/2025,CUST-9977,External SSD 1TB,Storage,1,132.93,0.1,119.64,21.54,141.18,Net Banking,Melbourne,Australia,APAC,Arun Kumar,E092
202501-00051,1/22/2025,CUST-4501,Smartphone 128GB,Electronics,4,1618.41,0,6473.64,1165.26,7638.9,Wallet,Pune,India,APAC,Asha Verma,E044
202501-00052,1/10/2025,CUST-9445,Office Chair,Furniture,5,414.97,0,2074.85,373.47,2448.32,Debit Card,London,UK,EMEA,Sofia Rossi,E040
202501-00053,1/26/2025,CUST-4262,Wireless Mouse,Accessories,1,16.47,0,16.47,2.96,19.43,Cash on Delivery,Bengaluru,India,APAC,Arun Kumar,E085
202501-00054,1/14/2025,CUST-4185,Standing Desk,Furniture,4,555.05,0,2220.2,399.64,2619.84,Credit Card,Sydney,Australia,APAC,Rohit Iyer,E077
202501-00055,1/6/2025,CUST-9486,Bluetooth Speaker,Audio,1,236.24,0,236.24,42.52,278.76,Credit Card,Melbourne,Australia,APAC,Rohit Iyer,E099
202501-00056,1/26/2025,CUST-8612,Office Chair,Furniture,5,989.35,0.15,4204.74,756.85,4961.59,Cash on Delivery,Vancouver,Canada,North America,Sarah Miller,E006
202501-00057,1/27/2025,CUST-9976,Bluetooth Speaker,Audio,2,305.15,0.1,549.27,98.87,648.14,Debit Card,San Francisco,USA,North America,Sarah Miller,E045
202501-00058,1/21/2025,CUST-4919,27" Monitor,Electronics,4,293.34,0.1,1056.02,190.08,1246.1,UPI,Manchester,UK,EMEA,James Wilson,E085
202501-00059,1/5/2025,CUST-3471,Mechanical Keyboard,Accessories,4,107.15,0,428.6,77.15,505.75,Credit Card,Sydney,Australia,APAC,Arun Kumar,E094
202501-00060,1/11/2025,CUST-9890,Bluetooth Speaker,Audio,4,53.04,0,212.16,38.19,250.35,Net Banking,Dubai,UAE,EMEA,James Wilson,E002
202501-00061,1/28/2025,CUST-7232,Bluetooth Speaker,Audio,1,378.81,0.15,321.99,57.96,379.95,Net Banking,Singapore,Singapore,APAC,Rohit Iyer,E016
202501-00062,1/16/2025,CUST-4595,27" Monitor,Electronics,4,1048.44,0.15,3564.7,641.65,4206.35,Wallet,Pune,India,APAC,Arun Kumar,E086
202501-00063,1/30/2025,CUST-3091,Smartwatch,Wearables,5,94.02,0,470.1,84.62,554.72,Credit Card,Sydney,Australia,APAC,Rohit Iyer,E004
202501-00064,1/28/2025,CUST-8564,Wireless Mouse,Accessories,1,46.42,0.15,39.46,7.1,46.56,UPI,Manchester,UK,EMEA,Olivia Martin,E003
202501-00065,1/9/2025,CUST-7906,27" Monitor,Electronics,1,1020.07,0,1020.07,183.61,1203.68,Credit Card,Berlin,Germany,EMEA,Sofia Rossi,E079
202501-00066,1/21/2025,CUST-2124,Webcam HD,Accessories,1,115.59,0,115.59,20.81,136.4,Debit Card,Mumbai,India,APAC,Rohit Iyer,E097
202501-00067,1/8/2025,CUST-3068,Bluetooth Speaker,Audio,1,238.67,0.1,214.8,38.66,253.46,UPI,Pune,India,APAC,Asha Verma,E017
202501-00068,1/25/2025,CUST-3683,27" Monitor,Electronics,1,1220.57,0,1220.57,219.7,1440.27,Cash on Delivery,Munich,Germany,EMEA,Olivia Martin,E085
202501-00069,1/31/2025,CUST-4249,Laptop 15",Electronics,5,1427.64,0,7138.2,1284.88,8423.08,Credit Card,London,UK,EMEA,James Wilson,E020
202501-00070,1/26/2025,CUST-1672,USB-C Hub,Accessories,5,69.97,0.1,314.87,56.68,371.55,Credit Card,Sydney,Australia,APAC,Arun Kumar,E059
202501-00071,1/4/2025,CUST-8102,USB-C Hub,Accessories,4,109.02,0.1,392.47,70.64,463.11,Cash on Delivery,Singapore,Singapore,APAC,Arun Kumar,E007
202501-00072,1/15/2025,CUST-8136,External SSD 1TB,Storage,5,124.41,0,622.05,111.97,734.02,Credit Card,San Francisco,USA,North America,Sarah Miller,E065
202501-00073,1/8/2025,CUST-8613,Smartwatch,Wearables,5,427.46,0.15,1816.7,327.01,2143.71,UPI,Pune,India,APAC,Arun Kumar,E062
202501-00074,1/7/2025,CUST-6813,Webcam HD,Accessories,3,57.65,0,172.95,31.13,204.08,Wallet,San Francisco,USA,North America,Chris Johnson,E057
202501-00075,1/17/2025,CUST-4130,Laptop 15",Electronics,2,1482.14,0.05,2816.07,506.89,3322.96,Wallet,Toronto,Canada,North America,Sarah Miller,E010
202501-00076,1/15/2025,CUST-1282,Laptop 15",Electronics,3,559.95,0,1679.85,302.37,1982.22,UPI,Dubai,UAE,EMEA,Liam Schmidt,E080
202501-00077,1/16/2025,CUST-9698,USB-C Hub,Accessories,4,149.53,0.1,538.31,96.9,635.21,Wallet,Melbourne,Australia,APAC,Mei Lin,E005
202501-00078,1/10/2025,CUST-5118,Mechanical Keyboard,Accessories,1,110.98,0.05,105.43,18.98,124.41,Debit Card,Kolkata,India,APAC,Arun Kumar,E077
202501-00079,1/9/2025,CUST-9595,Smartwatch,Wearables,3,589.87,0,1769.61,318.53,2088.14,UPI,New York,USA,North America,Michael Brown,E014
202501-00080,1/6/2025,CUST-5952,Laptop 13",Electronics,5,384.18,0,1920.9,345.76,2266.66,Cash on Delivery,London,UK,EMEA,Sofia Rossi,E094
202501-00081,1/21/2025,CUST-9042,Laptop 15",Electronics,1,1212.02,0.15,1030.22,185.44,1215.66,UPI,Pune,India,APAC,Asha Verma,E013
202501-00082,1/9/2025,CUST-8827,Laptop 15",Electronics,1,891.31,0,891.31,160.44,1051.75,Debit Card,Hyderabad,India,APAC,Mei Lin,E037
202501-00083,1/3/2025,CUST-5066,Laptop 15",Electronics,5,1564.22,0,7821.1,1407.8,9228.9,Cash on Delivery,New York,USA,North America,Sarah Miller,E032
202501-00084,1/15/2025,CUST-8253,27" Monitor,Electronics,5,1981.56,0,9907.8,1783.4,11691.2,Cash on Delivery,Chennai,India,APAC,Rohit Iyer,E057
202501-00085,1/21/2025,CUST-4457,27" Monitor,Electronics,1,440.56,0,440.56,79.3,519.86,Debit Card,Mumbai,India,APAC,Arun Kumar,E018
202501-00086,1/15/2025,CUST-8699,27" Monitor,Electronics,1,578.23,0,578.23,104.08,682.31,Wallet,Melbourne,Australia,APAC,Asha Verma,E098
202501-00087,1/22/2025,CUST-4824,Printer,Office,3,410.89,0,1232.67,221.88,1454.55,Wallet,Kolkata,India,APAC,Arun Kumar,E009
202501-00088,1/4/2025,CUST-9922,Mechanical Keyboard,Accessories,2,137.18,0,274.36,49.38,323.74,Credit Card,Delhi,India,APAC,Rohit Iyer,E057
202501-00089,1/26/2025,CUST-6039,Smartwatch,Wearables,5,559.02,0.15,2375.84,427.65,2803.49,Wallet,London,UK,EMEA,Olivia Martin,E076
202501-00090,1/31/2025,CUST-5460,Smartphone 128GB,Electronics,5,1063.52,0,5317.6,957.17,6274.77,Net Banking,Manchester,UK,EMEA,Liam Schmidt,E008
202501-00091,1/1/2025,CUST-2496,Mechanical Keyboard,Accessories,5,92.2,0.1,414.9,74.68,489.58,Cash on Delivery,Delhi,India,APAC,Rohit Iyer,E091
202501-00092,1/16/2025,CUST-9502,Office Chair,Furniture,4,926.14,0.15,3148.88,566.8,3715.68,Wallet,Toronto,Canada,North America,Chris Johnson,E096
202501-00093,1/16/2025,CUST-6700,Noise-Canceling Headphones,Audio,3,148.79,0.05,424.05,76.33,500.38,UPI,Sydney,Australia,APAC,Arun Kumar,E061
202501-00094,1/10/2025,CUST-7561,External SSD 1TB,Storage,5,68.81,0.1,309.65,55.74,365.39,UPI,Chennai,India,APAC,Arun Kumar,E037
202501-00095,1/28/2025,CUST-9431,External SSD 1TB,Storage,1,217.84,0.15,185.16,33.33,218.49,Credit Card,Kolkata,India,APAC,Mei Lin,E050
202501-00096,1/20/2025,CUST-9167,Office Chair,Furniture,4,788.79,0.05,2997.4,539.53,3536.93,UPI,Melbourne,Australia,APAC,Arun Kumar,E032
202501-00097,1/4/2025,CUST-1472,Office Chair,Furniture,5,823.4,0,4117,741.06,4858.06,UPI,Singapore,Singapore,APAC,Asha Verma,E022
202501-00098,1/18/2025,CUST-7684,Laptop 15",Electronics,2,1985.68,0,3971.36,714.84,4686.2,Net Banking,Chennai,India,APAC,Rohit Iyer,E049
202501-00099,1/16/2025,CUST-5781,Smartphone 128GB,Electronics,3,918.66,0.15,2342.58,421.66,2764.24,Debit Card,Melbourne,Australia,APAC,Rohit Iyer,E001
202501-00100,1/13/2025,CUST-4122,Printer,Office,5,293.46,0,1467.3,264.11,1731.41,Credit Card,San Francisco,USA,North America,Sarah Miller,E038
202501-00101,1/11/2025,CUST-9318,27" Monitor,Electronics,1,673.25,0.15,572.26,103.01,675.27,Debit Card,Melbourne,Australia,APAC,Arun Kumar,E087
202501-00102,1/12/2025,CUST-6446,Smartphone 128GB,Electronics,5,847.84,0,4239.2,763.06,5002.26,Debit Card,New York,USA,North America,Sarah Miller,E098
202501-00103,1/8/2025,CUST-7730,Laptop 13",Electronics,3,1527.7,0,4583.1,824.96,5408.06,Net Banking,Munich,Germany,EMEA,Sofia Rossi,E064
202501-00104,1/16/2025,CUST-1606,Wireless Mouse,Accessories,5,145.15,0,725.75,130.63,856.38,Net Banking,Chennai,India,APAC,Arun Kumar,E060
202501-00105,1/1/2025,CUST-3361,Noise-Canceling Headphones,Audio,2,57.69,0,115.38,20.77,136.15,UPI,Manchester,UK,EMEA,Olivia Martin,E090
202501-00106,1/21/2025,CUST-2315,External SSD 1TB,Storage,3,264.56,0,793.68,142.86,936.54,Net Banking,Manchester,UK,EMEA,Olivia Martin,E091
202501-00107,1/28/2025,CUST-9864,Laptop 13",Electronics,5,276.58,0,1382.9,248.92,1631.82,UPI,New York,USA,North America,Chris Johnson,E100
202501-00108,1/14/2025,CUST-2612,Webcam HD,Accessories,1,72.11,0,72.11,12.98,85.09,Credit Card,Delhi,India,APAC,Mei Lin,E056
202501-00109,1/26/2025,CUST-1919,27" Monitor,Electronics,3,843.46,0.15,2150.82,387.15,2537.97,Cash on Delivery,Pune,India,APAC,Rohit Iyer,E034
202501-00110,1/6/2025,CUST-2293,Smartwatch,Wearables,4,402.25,0.05,1528.55,275.14,1803.69,Debit Card,Melbourne,Australia,APAC,Mei Lin,E059
202501-00111,1/15/2025,CUST-5183,Office Chair,Furniture,1,911.04,0.1,819.94,147.59,967.53,Wallet,Singapore,Singapore,APAC,Rohit Iyer,E045
202501-00112,1/3/2025,CUST-8237,USB-C Hub,Accessories,5,51.88,0,259.4,46.69,306.09,Wallet,San Francisco,USA,North America,Sarah Miller,E018
202501-00113,1/28/2025,CUST-5949,Mechanical Keyboard,Accessories,4,129.47,0.15,440.2,79.24,519.44,Cash on Delivery,Berlin,Germany,EMEA,Liam Schmidt,E055
202501-00114,1/23/2025,CUST-5837,Laptop 13",Electronics,4,657.79,0,2631.16,473.61,3104.77,Cash on Delivery,Toronto,Canada,North America,Michael Brown,E096
202501-00115,1/25/2025,CUST-4770,Smartwatch,Wearables,3,193.88,0.1,523.48,94.23,617.71,Wallet,Hyderabad,India,APAC,Asha Verma,E092
202501-00116,1/29/2025,CUST-1645,27" Monitor,Electronics,4,211.72,0.05,804.54,144.82,949.36,Credit Card,London,UK,EMEA,Liam Schmidt,E002
202501-00117,1/24/2025,CUST-7807,Wireless Mouse,Accessories,2,28.5,0.1,51.3,9.23,60.53,Cash on Delivery,Vancouver,Canada,North America,Michael Brown,E064
202501-00118,1/27/2025,CUST-3695,27" Monitor,Electronics,4,1939.66,0.1,6982.78,1256.9,8239.68,Credit Card,Melbourne,Australia,APAC,Asha Verma,E097
202501-00119,1/5/2025,CUST-4696,External SSD 1TB,Storage,4,292.14,0,1168.56,210.34,1378.9,UPI,Bengaluru,India,APAC,Arun Kumar,E099
202501-00120,1/1/2025,CUST-5332,Smartphone 128GB,Electronics,1,991.35,0,991.35,178.44,1169.79,Wallet,San Francisco,USA,North America,Sarah Miller,E046
202501-00121,1/27/2025,CUST-7086,Laptop 15",Electronics,2,1022.23,0,2044.46,368,2412.46,Cash on Delivery,Manchester,UK,EMEA,Sofia Rossi,E067
202501-00122,1/21/2025,CUST-2035,Office Chair,Furniture,4,920.26,0.15,3128.88,563.2,3692.08,Credit Card,Hyderabad,India,APAC,Asha Verma,E019
202501-00123,1/31/2025,CUST-1609,27" Monitor,Electronics,4,364.82,0.05,1386.32,249.54,1635.86,Net Banking,Melbourne,Australia,APAC,Mei Lin,E091
202501-00124,1/22/2025,CUST-9850,Noise-Canceling Headphones,Audio,5,304.64,0.15,1294.72,233.05,1527.77,Wallet,Chennai,India,APAC,Arun Kumar,E067
202501-00125,1/20/2025,CUST-7686,27" Monitor,Electronics,1,1427.02,0.15,1212.97,218.33,1431.3,Debit Card,Berlin,Germany,EMEA,James Wilson,E016
202501-00126,1/22/2025,CUST-7018,Smartphone 128GB,Electronics,3,262.02,0,786.06,141.49,927.55,Net Banking,Bengaluru,India,APAC,Rohit Iyer,E045
202501-00127,1/21/2025,CUST-1349,Laptop 13",Electronics,3,600.6,0.05,1711.71,308.11,2019.82,Credit Card,Singapore,Singapore,APAC,Rohit Iyer,E027
202501-00128,1/19/2025,CUST-4538,External SSD 1TB,Storage,2,138.85,0,277.7,49.99,327.69,UPI,Hyderabad,India,APAC,Rohit Iyer,E039
202501-00129,1/18/2025,CUST-5106,Webcam HD,Accessories,2,25.39,0,50.78,9.14,59.92,Debit Card,Mumbai,India,APAC,Mei Lin,E029
202501-00130,1/26/2025,CUST-4898,Smartwatch,Wearables,3,88.21,0.05,251.4,45.25,296.65,Wallet,Sydney,Australia,APAC,Asha Verma,E099
202501-00131,1/24/2025,CUST-2041,Bluetooth Speaker,Audio,4,317.87,0,1271.48,228.87,1500.35,Net Banking,Vancouver,Canada,North America,Emily Davis,E075
202501-00132,1/31/2025,CUST-1710,Standing Desk,Furniture,5,385.43,0,1927.15,346.89,2274.04,Credit Card,Delhi,India,APAC,Arun Kumar,E096
202501-00133,1/28/2025,CUST-7580,Noise-Canceling Headphones,Audio,1,211.4,0,211.4,38.05,249.45,Credit Card,Bengaluru,India,APAC,Mei Lin,E003
202501-00134,1/20/2025,CUST-3430,Laptop 15",Electronics,2,658.78,0,1317.56,237.16,1554.72,Cash on Delivery,Manchester,UK,EMEA,Olivia Martin,E099
202501-00135,1/20/2025,CUST-9692,27" Monitor,Electronics,4,1085.27,0,4341.08,781.39,5122.47,Wallet,Singapore,Singapore,APAC,Rohit Iyer,E013
202501-00136,1/14/2025,CUST-8398,Printer,Office,2,253.8,0,507.6,91.37,598.97,Net Banking,Sydney,Australia,APAC,Asha Verma,E092
202501-00137,1/11/2025,CUST-7992,USB-C Hub,Accessories,3,62.4,0.15,159.12,28.64,187.76,Credit Card,Bengaluru,India,APAC,Asha Verma,E084
202501-00138,1/3/2025,CUST-8075,Laptop 15",Electronics,3,1651.77,0.1,4459.78,802.76,5262.54,Wallet,Chennai,India,APAC,Arun Kumar,E062
202501-00139,1/12/2025,CUST-7929,External SSD 1TB,Storage,1,292.42,0,292.42,52.64,345.06,UPI,Chennai,India,APAC,Rohit Iyer,E063
202501-00140,1/5/2025,CUST-8900,Mechanical Keyboard,Accessories,1,59.02,0,59.02,10.62,69.64,UPI,Dubai,UAE,EMEA,Sofia Rossi,E038
202501-00141,1/26/2025,CUST-8030,External SSD 1TB,Storage,5,293.89,0,1469.45,264.5,1733.95,Cash on Delivery,Singapore,Singapore,APAC,Asha Verma,E051
202501-00142,1/20/2025,CUST-5381,Laptop 13",Electronics,2,655.55,0,1311.1,236,1547.1,UPI,Berlin,Germany,EMEA,James Wilson,E014
202501-00143,1/6/2025,CUST-3347,Smartwatch,Wearables,4,116.18,0,464.72,83.65,548.37,Credit Card,Bengaluru,India,APAC,Rohit Iyer,E023
202501-00144,1/13/2025,CUST-7878,Bluetooth Speaker,Audio,3,88.24,0.1,238.25,42.88,281.13,Cash on Delivery,Bengaluru,India,APAC,Asha Verma,E036
202501-00145,1/5/2025,CUST-3579,Webcam HD,Accessories,5,16.97,0.15,72.12,12.98,85.1,Wallet,Sydney,Australia,APAC,Arun Kumar,E006
202501-00146,1/20/2025,CUST-8242,Noise-Canceling Headphones,Audio,3,109.76,0.1,296.35,53.34,349.69,Net Banking,Chennai,India,APAC,Mei Lin,E032
202501-00147,1/22/2025,CUST-8972,Smartphone 128GB,Electronics,3,234.02,0,702.06,126.37,828.43,Credit Card,Kolkata,India,APAC,Mei Lin,E092
202501-00148,1/31/2025,CUST-4460,Webcam HD,Accessories,2,116.98,0,233.96,42.11,276.07,Credit Card,Toronto,Canada,North America,Sarah Miller,E055
202501-00149,1/6/2025,CUST-3116,Noise-Canceling Headphones,Audio,5,290.36,0.1,1306.62,235.19,1541.81,Credit Card,Munich,Germany,EMEA,James Wilson,E011
202501-00150,1/14/2025,CUST-1307,Bluetooth Speaker,Audio,1,348.98,0.15,296.63,53.39,350.02,Wallet,Sydney,Australia,APAC,Mei Lin,E075
202501-00151,1/4/2025,CUST-7636,Laptop 13",Electronics,3,467.97,0,1403.91,252.7,1656.61,Net Banking,Berlin,Germany,EMEA,James Wilson,E085
202501-00152,1/14/2025,CUST-2734,Mechanical Keyboard,Accessories,4,92.44,0.15,314.3,56.57,370.87,UPI,Manchester,UK,EMEA,Sofia Rossi,E036
202501-00153,1/11/2025,CUST-3754,Laptop 15",Electronics,5,1321.47,0.05,6276.98,1129.86,7406.84,UPI,Berlin,Germany,EMEA,Sofia Rossi,E055
202501-00154,1/8/2025,CUST-2684,Wireless Mouse,Accessories,3,37.62,0,112.86,20.31,133.17,Wallet,Bengaluru,India,APAC,Rohit Iyer,E001
202501-00155,1/31/2025,CUST-9095,Bluetooth Speaker,Audio,5,311.15,0.1,1400.17,252.03,1652.2,Wallet,Manchester,UK,EMEA,Sofia Rossi,E084
202501-00156,1/15/2025,CUST-2118,Bluetooth Speaker,Audio,4,263.61,0,1054.44,189.8,1244.24,Cash on Delivery,Delhi,India,APAC,Mei Lin,E010
202501-00157,1/17/2025,CUST-2215,27" Monitor,Electronics,4,986.04,0.1,3549.74,638.95,4188.69,Credit Card,Bengaluru,India,APAC,Arun Kumar,E026
202501-00158,1/15/2025,CUST-1672,Bluetooth Speaker,Audio,5,271.18,0.15,1152.52,207.45,1359.97,Cash on Delivery,Hyderabad,India,APAC,Asha Verma,E097
202501-00159,1/15/2025,CUST-2695,Webcam HD,Accessories,3,147.53,0.05,420.46,75.68,496.14,Credit Card,New York,USA,North America,Sarah Miller,E023
202501-00160,1/15/2025,CUST-9586,Smartphone 128GB,Electronics,5,443.68,0.1,1996.56,359.38,2355.94,Net Banking,Sydney,Australia,APAC,Mei Lin,E016
202501-00161,1/22/2025,CUST-1857,Webcam HD,Accessories,3,19.23,0.15,49.04,8.83,57.87,UPI,San Francisco,USA,North America,Emily Davis,E020
202501-00162,1/11/2025,CUST-2335,Smartwatch,Wearables,2,556.71,0.15,946.41,170.35,1116.76,Debit Card,Bengaluru,India,APAC,Mei Lin,E043
202501-00163,1/18/2025,CUST-7171,Office Chair,Furniture,3,835.6,0,2506.8,451.22,2958.02,Wallet,Vancouver,Canada,North America,Chris Johnson,E006
202501-00164,1/21/2025,CUST-7937,Smartphone 128GB,Electronics,3,183.73,0.05,523.63,94.25,617.88,UPI,Toronto,Canada,North America,Emily Davis,E008
